[TIMESERIES]
;;Name           Date       Time       Value     
;;-------------- ---------- ---------- ----------
RainGage1        7/21/2012  23:15      2.4       
RainGage1        7/21/2012  23:20      1.2       
RainGage1        7/21/2012  23:25      2.4       
RainGage1        7/21/2012  23:30      3.6       
RainGage1        7/21/2012  23:35      2.4       
RainGage1        7/21/2012  23:40      1.2       
RainGage1        7/21/2012  23:45      1.2       
RainGage1        7/21/2012  23:50      0         
RainGage1        7/21/2012  23:55      0         
RainGage1        7/22/2012  0:00       1.2       
RainGage1        7/22/2012  0:05       0         
RainGage1        7/22/2012  0:10       0         
RainGage1        7/22/2012  0:15       1.2       
RainGage1        7/22/2012  0:20       0         
RainGage1        7/22/2012  0:25       1.2       
RainGage1        7/22/2012  0:30       1.2       
RainGage1        7/22/2012  0:35       1.2       
RainGage1        7/22/2012  0:40       0         
RainGage1        7/22/2012  0:45       3.6       
RainGage1        7/22/2012  0:50       6         
RainGage1        7/22/2012  0:55       6         
RainGage1        7/22/2012  1:00       18        
RainGage1        7/22/2012  1:05       14.4      
RainGage1        7/22/2012  1:10       21.6      
RainGage1        7/22/2012  1:15       27.6      
RainGage1        7/22/2012  1:20       27.6      
RainGage1        7/22/2012  1:25       36        
RainGage1        7/22/2012  1:30       31.2      
RainGage1        7/22/2012  1:35       22.8      
RainGage1        7/22/2012  1:40       18        
RainGage1        7/22/2012  1:45       27.6      
RainGage1        7/22/2012  1:50       18        
RainGage1        7/22/2012  1:55       26.4      
RainGage1        7/22/2012  2:00       26.4      
RainGage1        7/22/2012  2:05       20.4      
RainGage1        7/22/2012  2:10       12        
RainGage1        7/22/2012  2:15       2.4       
RainGage1        7/22/2012  2:20       2.4       
RainGage1        7/22/2012  2:25       2.4       
RainGage1        7/22/2012  2:30       0         
RainGage1        7/22/2012  2:35       1.2       
RainGage1        7/22/2012  2:40       3.6       
RainGage1        7/22/2012  2:45       2.4       
RainGage1        7/22/2012  2:50       2.4       
RainGage1        7/22/2012  2:55       3.6       
RainGage1        7/22/2012  3:00       1.2       
RainGage1        7/22/2012  3:05       1.2       
RainGage1        7/22/2012  3:10       0         
RainGage1        7/22/2012  3:15       0         
RainGage1        7/22/2012  3:20       1.2       
RainGage1        7/22/2012  3:25       0         
RainGage1        7/22/2012  3:30       0         
RainGage1        7/22/2012  3:35       0         
RainGage1        7/22/2012  3:40       0         
RainGage1        7/22/2012  3:45       0         
RainGage1        7/22/2012  3:50       0         
RainGage1        7/22/2012  3:55       0         
RainGage1        7/22/2012  4:00       0         
RainGage1        7/22/2012  4:05       0         
RainGage1        7/22/2012  4:10       0         
RainGage1        7/22/2012  4:15       0         
RainGage1        7/22/2012  4:20       0         
RainGage1        7/22/2012  4:25       0         
RainGage1        7/22/2012  4:30       0         
RainGage1        7/22/2012  4:35       0         
RainGage1        7/22/2012  4:40       0         
RainGage1        7/22/2012  4:45       0         
RainGage1        7/22/2012  4:50       0         
RainGage1        7/22/2012  4:55       0         
RainGage1        7/22/2012  5:00       0         
RainGage1        7/22/2012  5:05       0         
RainGage1        7/22/2012  17:05       0         
;
RainGage2        7/21/2012  11:05      0         
RainGage2        7/21/2012  11:10      0         
RainGage2        7/21/2012  11:15      0         
RainGage2        7/21/2012  11:20      0         
RainGage2        7/21/2012  11:25      0         
RainGage2        7/21/2012  11:30      0         
RainGage2        7/21/2012  11:35      0         
RainGage2        7/21/2012  11:40      0         
