[Polygons]
;;Subcatchment   X-Coord            Y-Coord           
;;-------------- ------------------ ------------------
S21757           504549.901         320848.912        
S21757           504541.233         320863.340        
S21686           504659.106         320790.945        
S21686           504840.280         320748.257        
S21686           504832.849         320712.383        
S21686           504831.301         320711.499        
S21686           504659.106         320790.945        
S21756           504538.786         320867.047        
S21756           504852.949         320877.352        
S21756           504853.654         320850.167        
S21756           504851.978         320847.761        
S21756           504541.233         320863.340        
S21756           504538.786         320867.047        
S21776           504549.901         320848.912        
S21776           504850.874         320818.841        
S21776           504848.547         320784.310        
S21776           504553.910         320841.326        
S21776           504549.901         320848.912        
S21696           504100.078         320926.136        
S21696           504828.038         321261.307        
S21696           504866.164         321232.393        
S21696           504163.727         320955.232        
S21696           504100.078         320926.136        
S22074           503908.014         321323.107        
S22074           504820.650         321383.243        
S22074           504821.820         321382.247        
S22074           504822.268         321344.798        
S22074           503954.606         321155.178        
S22074           503908.014         321323.107        
S22013           504193.109         320938.159        
S22013           504831.656         321181.976        
S22013           504837.332         321137.551        
S22013           504821.695         321092.650        
S22013           504266.567         320896.864        
S22013           504193.109         320938.159        
S22053           503868.087         321362.061        
S22053           503928.759         321410.233        
S22053           504815.939         321457.580        
S22053           504818.314         321422.284        
S22053           504818.282         321422.252        
S22053           503868.087         321362.061        
S23933           504831.656         321181.976        
S23933           504894.325         321218.262        
S23933           505186.323         321237.735        
S23933           505209.695         321161.079        
S23933           504837.332         321137.551        
S23933           504831.656         321181.976        
S23897           504826.824         321302.986        
S23897           505177.858         321324.880        
S23897           505186.323         321237.735        
S23897           504894.325         321218.262        
S23897           504866.164         321232.393        
S23897           504828.038         321261.307        
S23897           504826.824         321302.986        
S21694           504818.282         321422.252        
S21694           504818.314         321422.284        
S21694           505160.965         321443.858        
S21694           505166.288         321405.168        
S21694           504821.820         321382.247        
S21694           504820.650         321383.243        
S21694           504818.282         321422.252        
S21555           504807.261         321497.602        
S21555           504813.046         321503.734        
S21555           505152.183         321526.361        
S21555           505157.769         321498.710        
S21555           505157.896         321485.685        
S21555           504820.551         321463.836        
S21555           504807.261         321497.602        
S22159           503928.759         321410.233        
S22159           503954.286         321431.229        
S22159           504807.261         321497.602        
S22159           504820.551         321463.836        
S22159           504815.939         321457.580        
S22159           503928.759         321410.233        
S22011           503954.606         321155.178        
S22011           504822.268         321344.798        
S22011           504824.100         321343.295        
S22011           504825.475         321304.027        
S22011           504075.317         321102.560        
S22011           503954.606         321155.178        
S22054           503851.310         321349.332        
S22054           503868.087         321362.061        
S22054           504818.282         321422.252        
S22054           504820.650         321383.243        
S22054           503908.014         321323.107        
S22054           503851.310         321349.332        
S22012           504075.317         321102.560        
S22012           504825.475         321304.027        
S22012           504826.824         321302.986        
S22012           504828.038         321261.307        
S22012           504100.078         320926.136        
S22012           504075.317         321102.560        
S21761           504810.542         321535.916        
S21761           504810.667         321536.115        
S21761           505147.585         321559.398        
S21761           505152.183         321526.361        
S21761           504813.046         321503.734        
S21761           504810.542         321535.916        
S21697           504163.727         320955.232        
S21697           504866.164         321232.393        
S21697           504894.325         321218.262        
S21697           504831.656         321181.976        
S21697           504193.109         320938.159        
S21697           504163.727         320955.232        
S21695           504821.820         321382.247        
S21695           505166.288         321405.168        
S21695           505173.946         321366.565        
S21695           504824.100         321343.295        
S21695           504822.268         321344.798        
S21695           504821.820         321382.247        
S21556           504815.939         321457.580        
S21556           504820.551         321463.836        
S21556           505157.896         321485.685        
S21556           505160.965         321443.858        
