[CONDUITS]
;;Name           From Node        To Node          Length     Roughness  InOffset   OutOffset  InitFlow   MaxFlow   
;;-------------- ---------------- ---------------- ---------- ---------- ---------- ---------- ---------- ----------
21506.1          21506            21507            40.205585  0.012857   0.000000   0.000000   0.000000   0         
21508.1          21508            21509            70.369150  0.012857   0.000000   0.000000   0.000000   0         
21509.1          21509            21552            26.358715  0.012857   0.000000   0.000000   0.000000   0         
21553.1          21553            21554            50.004257  0.012857   0.000000   0.000000   0.000000   0         
21555.1          21555            21556            41.327404  0.012857   0.000000   0.000000   0.000000   0         
21685.1          21685            21686            38.018298  0.012857   0.000000   0.000000   0.000000   0         
21687.1          21687            21688            37.100741  0.012857   0.000000   0.000000   0.000000   0         
21694.1          21694            21695            38.858743  0.012857   0.000000   0.000000   0.000000   0         
21696.1          21696            21697            20.088448  0.012857   0.000000   0.000000   0.000000   0         
21756.1          21756            21757            24.968264  0.012857   0.000000   0.000000   0.000000   0         
21758.1          21758            DD17             50.001005  0.012857   0.000000   0.000000   0.000000   0         
21760.1          21760            21761            25.682101  0.012857   0.000000   0.000000   0.000000   0         
21775.1          21775            21506            45.798963  0.012857   0.000000   0.000000   0.000000   0         
21757.1          21757            21776            31.171514  0.012857   0.000000   0.000000   0.000000   0         
21777.1          21777            21778            25.234768  0.012857   0.000000   0.000000   0.000000   0         
21554.1          21554            21812            52.992449  0.012857   0.000000   0.000000   0.000000   0         
21827.1          21827            21828            29.601395  0.012857   0.000000   0.000000   0.000000   0         
22011.1          22011            22012            41.561664  0.012857   0.000000   0.000000   0.000000   0         
22013.1          22013            22014            100.496279 0.012857   0.000000   0.000000   0.000000   0         
22053.1          22053            22054            41.142299  0.012857   0.000000   0.000000   0.000000   0         
22055.1          22055            21756            31.388395  0.012857   0.000000   0.000000   0.000000   0         
22056.1          22056            22057            44.933902  0.012857   0.000000   0.000000   0.000000   0         
22058.1          22058            22059            39.595776  0.012857   0.000000   0.000000   0.000000   0         
22074.1          22074            22011            40.011631  0.012857   0.000000   0.000000   0.000000   0         
22075.1          22075            22056            37.726569  0.012857   0.000000   0.000000   0.000000   0         
21552.1          21552            22159            50.271507  0.012857   0.000000   0.000000   0.000000   0         
22057.1          22057            22160            45.448995  0.012857   0.000000   0.000000   0.000000   0         
21761.1          21761            21555            39.340274  0.012857   0.000000   0.000000   0.000000   0         
21556.1          21556            21694            41.377767  0.012857   0.000000   0.000000   0.000000   0         
22014.1          22014            22862            40.319160  0.012857   0.000000   0.000000   0.000000   0         
22863.1          22863            21758            50.003308  0.012857   0.000000   0.000000   0.000000   0         
22862.1          22862            22979            44.771056  0.012857   0.000000   0.000000   0.000000   0         
22160.1          22160            22980            49.995524  0.012857   0.000000   0.000000   0.000000   0         
21695.1          21695            22981            39.176372  0.012857   0.000000   0.000000   0.000000   0         
22982.1          22982            22983            85.774141  0.012857   0.000000   0.000000   0.000000   0         
21507.1          21507            23108            46.274800  0.012857   0.000000   0.000000   0.000000   0         
23198.1          23198            22055            31.228754  0.012857   0.000000   0.000000   0.000000   0         
22980.1          22980            21553            49.996933  0.012857   0.000000   0.000000   0.000000   0         
21812.1          21812            22863            50.000743  0.012857   0.000000   0.000000   0.000000   0         
22983.1          22983            23199            33.490728  0.012857   0.000000   0.000000   0.000000   0         
23200.1          23200            21777            32.464334  0.012857   0.000000   0.000000   0.000000   0         
23108.1          23108            21508            21.980259  0.012857   0.000000   0.000000   0.000000   0         
23867.1          23867            23868            39.496552  0.012857   0.000000   0.000000   0.000000   0         
23869.1          23869            21760            23.855928  0.012857   0.000000   0.000000   0.000000   0         
23870.1          23870            21687            40.660714  0.012857   0.000000   0.000000   0.000000   0         
21686.1          21686            22075            28.765969  0.012857   0.000000   0.000000   0.000000   0         
23868.1          23868            23869            30.486994  0.012857   0.000000   0.000000   0.000000   0         
22981.1          22981            23897            41.768002  0.012857   0.000000   0.000000   0.000000   0         
23199.1          23199            21827            49.440394  0.012857   0.000000   0.000000   0.000000   0         
22979.1          22979            23198            34.047511  0.012857   0.000000   0.000000   0.000000   0         
23932.1          23932            23867            49.952037  0.012857   0.000000   0.000000   0.000000   0         
23897.1          23897            23933            136.140734 0.012857   0.000000   0.000000   0.000000   0         
21778.1          21778            23870            34.207821  0.012857   0.000000   0.000000   0.000000   0         
