[SUBCATCHMENTS]
;;Name           Rain Gage        Outlet           Area     %Imperv  Width    %Slope   CurbLen  SnowPack        
;;-------------- ---------------- ---------------- -------- -------- -------- -------- -------- ----------------
S22981           1                22981            1.450578 70.000000 67.950953 0.200000 0.000000                 
S21758           1                21758            9.649563 30.000000 175.258421 6.229903 0.000000                 
S21553           1                21553            2.360723 60.000000 86.685724 0.200000 0.000000                 
S21828           1                21828            1.268710 70.000000 63.548647 0.876011 0.000000                 
S22059           1                22059            1.197448 70.000000 61.738107 0.200000 0.000000                 
S25360           1                25360            0.242220 80.000000 27.767070 1.755419 0.000000                 
S22075           1                22075            0.864740 80.000000 52.464763 0.200000 0.000000                 
S22863           1                22863            2.475508 70.000000 88.768171 0.200000 0.000000                 
S22980           1                22980            2.072192 60.000000 81.215706 0.380023 0.000000                 
S22160           1                22160            3.197697 60.000000 100.888970 0.200000 0.000000                 
S22056           1                22056            4.565345 70.000000 120.548519 0.200000 0.000000                 
S22057           1                22057            1.485283 60.000000 68.759013 0.200000 0.000000                 
S21812           1                21812            3.891329 40.000000 111.294581 1.779974 0.000000                 
S21688           1                21688            0.421856 80.000000 36.644355 1.957946 0.000000                 
S21554           1                21554            2.738316 60.000000 93.361292 0.200000 0.000000                 
S23200           1                23200            1.216918 60.000000 62.238018 0.338833 0.000000                 
S21685           1                21685            0.864496 80.000000 52.457361 0.200000 0.000000                 
S22982           1                22982            2.015525 60.000000 80.097544 0.454682 0.000000                 
S23870           1                23870            0.804531 70.000000 50.605367 1.352657 0.000000                 
S23198           1                23198            0.519295 80.000000 40.656705 0.200000 0.000000                 
S21687           1                21687            0.687569 80.000000 46.782484 0.200000 0.000000                 
S21777           1                21777            0.985097 80.000000 55.996980 0.317023 0.000000                 
S23199           1                23199            1.662732 50.000000 72.750541 0.283169 0.000000                 
S22055           1                22055            0.812498 80.000000 50.855307 0.764614 0.000000                 
S22983           1                22983            2.358143 60.000000 86.638339 0.477744 0.000000                 
S22979           1                22979            1.745874 80.000000 74.547240 0.200000 0.000000                 
S21827           1                21827            1.600339 60.000000 71.372520 0.608079 0.000000                 
S22862           1                22862            1.689729 70.000000 73.338763 0.335038 0.000000                 
S22014           1                22014            2.619659 70.000000 91.316120 0.421636 0.000000                 
S21778           1                21778            0.696537 80.000000 47.086586 0.233865 0.000000                 
S21757           1                21757            0.656473 80.000000 45.712346 0.481209 0.000000                 
S21686           1                21686            0.354591 70.000000 33.596109 0.200000 0.000000                 
S21756           1                21756            0.522363 80.000000 40.776610 0.240305 0.000000                 
S21776           1                21776            0.623471 80.000000 44.548497 1.660600 0.000000                 
S21696           1                21696            1.551472 80.000000 70.274379 0.248899 0.000000                 
S22074           1                22074            9.488384 80.000000 173.788560 0.224935 0.000000                 
S22013           1                22013            4.643277 60.000000 121.573064 0.238815 0.000000                 
S22053           1                22053            3.678798 80.000000 108.212657 0.200000 0.000000                 
S23933           1                23933            2.727050 60.000000 93.169042 0.200000 0.000000                 
S23897           1                23897            2.990791 70.000000 97.570395 0.200000 0.000000                 
S21694           1                21694            1.364421 70.000000 65.902101 0.231608 0.000000                 
S21555           1                21555            1.394673 70.000000 66.628686 0.241970 0.000000                 
S22159           1                22159            2.618563 80.000000 91.297010 0.233153 0.000000                 
S22011           1                22011            4.992193 80.000000 126.058093 0.288728 0.000000                 
S22054           1                22054            3.816124 80.000000 110.213882 0.296414 0.000000                 
S22012           1                22012            8.467357 80.000000 164.171967 0.322935 0.000000                 
S21761           1                21761            1.113894 60.000000 59.545229 0.203354 0.000000                 
S21697           1                21697            2.291205 60.000000 85.399836 0.262375 0.000000                 
S21695           1                21695            1.361063 70.000000 65.820964 0.306307 0.000000                 
S21556           1                21556            1.427215 70.000000 67.401538 0.200000 0.000000                 
S21552           1                21552            3.834435 70.000000 110.477982 0.338164 0.000000                 
S23932           1                23932            1.384376 70.000000 66.382263 0.220211 0.000000                 
S23867           1                23867            1.476741 70.000000 68.561014 0.278505 0.000000                 
S23869           1                23869            0.970135 70.000000 55.570110 0.251510 0.000000                 
S21760           1                21760            0.789693 70.000000 50.136508 0.233626 0.000000                 
S23868           1                23868            1.183785 60.000000 61.384887 0.200000 0.000000                 
S21508           1                21508            3.558224 70.000000 106.424528 0.227372 0.000000                 
S23108           1                23108            1.794992 80.000000 75.588595 0.227477 0.000000                 
S21506           1                21506            2.496693 70.000000 89.147187 0.200000 0.000000                 
S21509           1                21509            3.575817 80.000000 106.687290 0.265567 0.000000                 
S21507           1                21507            2.281215 70.000000 85.213447 0.280930 0.000000                 
S21775           1                21775            4.382533 60.000000 118.110264 0.200000 0.000000                 
S22058           1                22058            1.594427 70.000000 71.240566 0.200000 0.000000                 
ST14             2                T14              4.112347 100.000000 114.411570 0.200000 0.000000                 
Stz105           2                tz105            3.580346 100.000000 106.754841 0.200000 0.000000                 
Stz106           2                tz106            4.514228 100.000000 119.871741 0.200000 0.000000                 
ST27             1                T27              3.133795 100.000000 99.875817 0.337529 0.000000                 
ST19             2                T19              2.938373 100.000000 96.711592 0.213609 0.000000                 
ST9              2                T9               8.438994 100.000000 163.896774 0.309334 0.000000                 
Stz1             1                tz1              3.772255 100.000000 109.578554 0.200000 0.000000                 
Stz107           2                tz107            4.949778 100.000000 125.521437 0.200000 0.000000                 
Stz86            2                tz86             7.021617 100.000000 149.500844 0.200000 0.000000                 
Stz87            2                tz87             6.067584 100.000000 138.973813 0.200000 0.000000                 
Stz88            2                tz88             6.214957 100.000000 140.651419 0.200000 0.000000                 
Stz89            2                tz89             7.574533 100.000000 155.275516 0.200000 0.000000                 
ST5              2                T5               8.840504 100.000000 167.750406 0.200000 0.000000                 
Stz108           2                tz108            5.453426 100.000000 131.752774 0.200000 0.000000                 
Stz85            2                tz85             7.052920 100.000000 149.833718 0.200000 0.000000                 
