[JUNCTIONS]
;;Name           Elevation  MaxDepth   InitDepth  SurDepth   Aponded   
;;-------------- ---------- ---------- ---------- ---------- ----------
tz36             32.279299  3.002840   0.000000   0.000000   200.000000
tz37             32.977017  1.337687   0.000000   0.000000   200.000000
tz38             32.674403  1.723088   0.000000   0.000000   200.000000
tz39             36.439336  2.655597   0.000000   0.000000   200.000000
tz40             35.782385  2.768454   0.000000   0.000000   200.000000
tz41             33.629512  3.297333   0.000000   0.000000   200.000000
tz42             32.244281  2.882031   0.000000   0.000000   200.000000
tz43             31.310856  2.791622   0.000000   0.000000   200.000000
tz44             30.640000  3.381835   0.000000   0.000000   200.000000
tz45             30.140000  4.046737   0.000000   0.000000   200.000000
tz46             29.640000  4.209510   0.000000   0.000000   200.000000
tz47             32.586223  1.831391   0.000000   0.000000   200.000000
tz48             31.252648  3.301253   0.000000   0.000000   200.000000
tz49             31.185517  3.494121   0.000000   0.000000   200.000000
tz50             31.120451  3.408724   0.000000   0.000000   200.000000
tz51             31.066746  3.371422   0.000000   0.000000   200.000000
tz52             30.530612  3.853017   0.000000   0.000000   200.000000
tz53             30.511248  3.716802   0.000000   0.000000   200.000000
tz54             30.490135  3.647946   0.000000   0.000000   200.000000
tz55             30.468146  3.530504   0.000000   0.000000   200.000000
tz56             30.445836  3.367747   0.000000   0.000000   200.000000
tz57             30.425520  3.195952   0.000000   0.000000   200.000000
tz58             30.402889  3.042023   0.000000   0.000000   200.000000
tz59             30.382261  3.210745   0.000000   0.000000   200.000000
tz60             32.450000  1.200000   0.000000   0.000000   200.000000
tz61             32.450000  1.200000   0.000000   0.000000   200.000000
tz62             30.008181  1.976636   0.000000   0.000000   200.000000
tz63             29.858217  2.021720   0.000000   0.000000   200.000000
tz64             29.669089  2.174022   0.000000   0.000000   200.000000
tz65             30.516054  3.691580   0.000000   0.000000   200.000000
tz66             30.480938  3.646717   0.000000   0.000000   200.000000
tz67             30.447347  3.638163   0.000000   0.000000   200.000000
tz68             30.416301  3.577679   0.000000   0.000000   200.000000
tz69             30.386782  3.562837   0.000000   0.000000   200.000000
tz70             30.348102  3.563988   0.000000   0.000000   200.000000
tz71             29.310000  4.738359   0.000000   0.000000   200.000000
tz72             28.310000  5.617284   0.000000   0.000000   200.000000
tz73             27.310000  6.451787   0.000000   0.000000   200.000000
tz74             26.310000  7.268030   0.000000   0.000000   200.000000
tz75             35.929701  3.318063   0.000000   0.000000   200.000000
tz76             35.750843  3.309051   0.000000   0.000000   200.000000
tz77             35.575118  3.203606   0.000000   0.000000   200.000000
tz78             35.424498  3.187780   0.000000   0.000000   200.000000
tz79             35.255051  3.202484   0.000000   0.000000   200.000000
tz80             35.101291  3.207447   0.000000   0.000000   200.000000
tz81             34.379286  3.338431   0.000000   0.000000   200.000000
tz82             33.733207  3.781384   0.000000   0.000000   200.000000
tz83             34.730637  2.265578   0.000000   0.000000   200.000000
tz84             34.313377  2.538624   0.000000   0.000000   200.000000
tz85             33.911019  2.674442   0.000000   0.000000   200.000000
tz86             33.471406  2.928398   0.000000   0.000000   200.000000
tz87             33.083950  3.175530   0.000000   0.000000   200.000000
tz88             32.726298  3.441160   0.000000   0.000000   200.000000
tz89             32.286684  3.694269   0.000000   0.000000   200.000000
tz90             30.693750  4.934329   0.000000   0.000000   200.000000
tz91             29.516809  6.899180   0.000000   0.000000   200.000000
tz92             29.394142  5.439663   0.000000   0.000000   200.000000
tz93             29.179548  6.557238   0.000000   0.000000   200.000000
tz94             29.077654  6.828916   0.000000   0.000000   200.000000
tz95             28.988713  6.500381   0.000000   0.000000   200.000000
tz96             28.899820  5.306857   0.000000   0.000000   200.000000
tz97             28.808960  4.254326   0.000000   0.000000   200.000000
tz98             28.716378  3.715335   0.000000   0.000000   200.000000
tz99             28.625551  3.485678   0.000000   0.000000   200.000000
tz100            28.531116  3.416924   0.000000   0.000000   200.000000
tz101            28.449569  3.379220   0.000000   0.000000   200.000000
tz102            28.353901  3.294145   0.000000   0.000000   200.000000
tz103            28.347325  3.203819   0.000000   0.000000   200.000000
tz104            28.339891  3.075381   0.000000   0.000000   200.000000
tz105            32.596530  3.300412   0.000000   0.000000   200.000000
tz106            32.585004  3.296515   0.000000   0.000000   200.000000
tz107            32.573131  3.254311   0.000000   0.000000   200.000000
tz108            32.561778  3.170407   0.000000   0.000000   200.000000
tz109            32.550955  3.128190   0.000000   0.000000   200.000000
tz110            32.541173  3.096809   0.000000   0.000000   200.000000
tz111            32.530001  3.117250   0.000000   0.000000   200.000000
tz112            32.519876  3.090155   0.000000   0.000000   200.000000
tz113            32.510098  3.237922   0.000000   0.000000   200.000000
tz114            29.770886  7.080699   0.000000   0.000000   200.000000
tz115            29.661537  7.205303   0.000000   0.000000   200.000000
tz116            29.555773  6.373338   0.000000   0.000000   200.000000
tz117            29.455387  5.725650   0.000000   0.000000   200.000000
tz118            29.349624  5.117440   0.000000   0.000000   200.000000
tz119            29.224141  4.929538   0.000000   0.000000   200.000000
tz120            29.307046  4.298621   0.000000   0.000000   200.000000
tz121            29.543323  3.797650   0.000000   0.000000   200.000000
tz122            29.755947  3.512268   0.000000   0.000000   200.000000
tz123            29.960547  3.417158   0.000000   0.000000   200.000000
tz124            30.125764  2.756358   0.000000   0.000000   200.000000
tz125            30.087186  2.623110   0.000000   0.000000   200.000000
tz126            30.043568  2.467815   0.000000   0.000000   200.000000
tz127            29.990000  2.469122   0.000000   0.000000   200.000000
tz128            29.990000  2.365633   0.000000   0.000000   200.000000
tz129            29.990000  2.187959   0.000000   0.000000   200.000000
tz130            29.990000  2.000000   0.000000   0.000000   200.000000
tz131            32.987250  2.798017   0.000000   0.000000   200.000000
tz132            32.360000  2.929322   0.000000   0.000000   200.000000
tz147            32.312837  2.939349   0.000000   0.000000   200.000000
tz148            32.240783  2.862843   0.000000   0.000000   200.000000
tz149            32.210000  2.847964   0.000000   0.000000   200.000000
tz150            33.104474  1.462512   0.000000   0.000000   200.000000
tz151            32.840316  1.313981   0.000000   0.000000   200.000000
tz152            32.546169  1.940617   0.000000   0.000000   200.000000
tz154            32.389945  1.953034   0.000000   0.000000   200.000000
tz155            36.766138  2.647489   0.000000   0.000000   200.000000
tz156            36.101353  2.749714   0.000000   0.000000   200.000000
tz157            35.405790  2.972216   0.000000   0.000000   200.000000
tz158            33.859117  3.443305   0.000000   0.000000   200.000000
tz159            33.349146  3.041834   0.000000   0.000000   200.000000
tz160            32.639961  2.786190   0.000000   0.000000   200.000000
tz161            31.827526  2.858898   0.000000   0.000000   200.000000
TZ133            32.137855  2.503643   0.000000   0.000000   200.000000
TZ134            31.937657  2.327365   0.000000   0.000000   200.000000
TZ135            31.665423  2.726789   0.000000   0.000000   200.000000
TZ136            31.401135  2.754200   0.000000   0.000000   200.000000
TZ137            31.104894  2.935637   0.000000   0.000000   200.000000
TZ138            30.836633  2.926421   0.000000   0.000000   200.000000
TZ139            30.568387  3.000720   0.000000   0.000000   200.000000
TZ140            30.248093  3.065925   0.000000   0.000000   200.000000
TZ141            29.899759  2.734003   0.000000   0.000000   200.000000
TZ142            29.559447  2.418695   0.000000   0.000000   200.000000
TZ143            29.255153  2.155537   0.000000   0.000000   200.000000
TZ144            28.966889  2.316932   0.000000   0.000000   200.000000
TZ145            28.658607  2.176868   0.000000   0.000000   200.000000
TZ146            28.406360  2.223723   0.000000   0.000000   200.000000
TZ1461           28.138099  2.181977   0.000000   0.000000   200.000000
TZ1462           27.889902  2.309446   0.000000   0.000000   200.000000
TZ1463           27.609600  2.537482   0.000000   0.000000   200.000000
