[COORDINATES]
;;Node           X-Coord            Y-Coord           
;;-------------- ------------------ ------------------
tz112            506665.360         322926.041        
tz113            506621.359         322881.439        
tz114            506543.056         322779.336        
tz115            506494.794         322731.079        
tz116            506448.114         322684.404        
tz117            506403.809         322640.103        
tz118            506357.129         322593.428        
tz119            506301.747         322538.051        
tz120            506222.362         322412.383        
tz121            506200.393         322340.023        
tz122            506180.624         322274.907        
tz123            506161.600         322212.248        
tz124            506124.239         322089.125        
tz125            506103.038         322019.217        
tz126            506079.066         321940.175        
tz127            506042.318         321758.719        
tz128            506034.743         321671.254        
tz129            506027.624         321589.044        
tz130            506021.320         321516.257        
tz131            507123.236         323285.688        
tz132            507234.615         323034.289        
tz147            504155.671         322636.992        
tz148            504156.290         322490.289        
tz149            504156.589         322339.763        
tz150            504252.282         322251.065        
tz151            504420.678         322250.497        
tz152            504608.191         322249.864        
tz154            504934.756         322249.506        
tz155            505470.489         323379.727        
tz156            505470.655         323225.145        
tz157            505470.827         323063.406        
tz158            505453.789         322841.556        
tz159            505453.760         322692.701        
tz160            505453.469         322526.672        
tz161            505452.971         322363.501        
TZ133            507251.357         322897.189        
TZ134            507251.550         322846.404        
TZ135            507251.812         322777.345        
TZ136            507252.067         322710.301        
TZ137            507252.352         322635.152        
TZ138            507252.610         322567.101        
TZ139            507252.869         322499.053        
TZ140            507253.177         322417.802        
TZ141            507253.513         322329.438        
TZ142            507253.840         322243.110        
TZ143            507254.134         322165.918        
TZ144            507254.411         322092.792        
TZ145            507254.708         322014.588        
TZ146            507254.951         321950.599        
TZ1461           507255.209         321882.548        
TZ1462           507255.449         321819.586        
TZ1463           507255.719         321748.480        
DD19             507260.147         321506.111        
DD17             505279.491         320485.493        
DD18A            506443.467         321499.350        
dscout1breakA    505644.570         321100.628        
dscout1breakB    505686.466         321142.701        
DD18B            506470.443         321508.611        
DD18C            506499.702         321515.926        
