S1010600_A1 78.0
S1010600_A10 78.0
S1010600_A11 78.0
S1010600_A12 78.0
S1010600_A13 78.0
S1010600_A14 78.0
S1010600_A15 78.0
S1010600_A16 78.0
S1010600_A17 78.0
S1010600_A18 78.0
S1010600_A19 78.0
S1010600_A2 78.0
S1010600_A26 78.0
S1010600_A3 78.0
S1010600_A5 78.0
S1010600_A6 78.0
S1010600_A7 78.0
S1010600_A8 78.0
S1010600_A9 78.0
S1010690_A15 78.0
S1010690_A5 78.0
S1020662_A1 78.0
S1020662_A3 78.0
S1020662_A4 78.0
S1020662_A5 78.0
S1020662_A6 78.0
S1020662_A7 78.0
S1020663_A1 78.0
S1020663_A10 78.0
S1020663_A11 78.0
S1020663_A12 78.0
S1020663_A13 78.0
S1020663_A14 78.0
S1020663_A15 78.0
S1020663_A16 78.0
S1020663_A3 78.0
S1020663_A4 78.0
S1020663_A5 78.0
S1020663_A6 78.0
S1020663_A7 78.0
S1020663_A8 78.0
S1020663_A9 78.0
S1020664_A1 78.0
S1020664_A10 78.0
S1020664_A11 78.0
S1020664_A12 78.0
S1020664_A13 78.0
S1020664_A14 78.0
S1020664_A15 78.0
S1020664_A16 78.0
S1020664_A2 78.0
S1020664_A3 78.0
S1020664_A4 78.0
S1020664_A5 78.0
S1020664_A6 78.0
S1020664_A7 78.0
S1020664_A8 78.0
S1020664_A9 78.0
S1020665_A1 78.0
S1020665_A2 78.0
S1020665_A3 78.0
S1020665_A4 78.0
S1020665_A5 78.0
S1020672_A1 78.0
S1020672_A10 78.0
S1020672_A11 78.0
S1020672_A12 78.0
S1020672_A13 78.0
S1020672_A14 78.0
S1020672_A15 78.0
S1020672_A16 78.0
S1020672_A17 78.0
S1020672_A18 78.0
S1020672_A19 78.0
S1020672_A2 78.0
S1020672_A20 78.0
S1020672_A21 78.0
S1020672_A3 78.0
S1020672_A4 78.0
S1020672_A5 78.0
S1020672_A6 78.0
S1020672_A7 78.0
S1020672_A8 78.0
S1020672_A9 78.0
S1020674_A1 78.0
S1020674_A3 78.0
S1020682_A30 78.0
S1020682_A31 78.0
S1020682_A34 78.0
S1020682_A35 78.0
S1020682_A37 78.0
S1020682_A38 78.0
S1020684_A1 78.0
S1020684_A10 78.0
S1020684_A12 78.0
S1020684_A13 78.0
S1020684_A15 78.0
S1020684_A18 78.0
S1020684_A19 78.0
S1020684_A22 78.0
S1020684_A23 78.0
S1020684_A25 78.0
S1020684_A27 78.0
S1020684_A5 78.0
S1020684_A7 78.0
S1020684_A8 78.0
S1020694_A1 78.0
S1020694_A10 78.0
S1020694_A14 78.0
S1020694_A15 78.0
S1020694_A18 78.0
S1020694_A20 78.0
S1020694_A21 78.0
S1020694_A24 78.0
S1020694_A25 78.0
S1020694_A26 78.0
S1020694_A27 78.0
S1020694_A38 78.0
S1020694_A40 78.0
S1020694_A42 78.0
S1020694_A45 78.0
S1020694_A48 78.0
S1020694_A58 78.0
S1020694_A59 78.0
S1020694_A62 78.0
S1020694_A65 78.0
S1020694_A69 78.0
S1020694_A70 78.0
S1020694_A73 78.0
S1020694_A74 78.0
S1020694_A84 78.0
S1020694_A85 78.0
S1020694_A86 78.0
S1020694_A87 78.0
S1020694_A88 78.0
S1020694_A89 78.0
S1020694_A9 78.0
S1020694_A90 78.0
S1020694_A91 78.0
S1020695_A2 78.0
S1020695_A3 78.0
S1020695_A4 78.0
S1020695_A5 78.0
S1020695_A6 78.0
S137035 78.0
S137036 78.0
S137037 78.0
S137038 78.0
S137039 78.0
S137040 78.0
S137041 78.0
S137042 78.0
S137043 78.0
S137044 78.0
S137045 78.0
S137046 78.0
S137047 78.0
S137048 78.0
S137049 78.0
S137050 78.0
S159681 78.0
S159682 78.0
S159683 78.0
S15984 78.0
S21506 78.0
